153.05056090257585, 2432647199419008
213.3105978615131, 137931644589944200
309.03962635465996, 238899488658821000
443.13476354350496, 311850554280594050
631.6543159802904, 278607376474167040
785.4912372552717, 224520682312478980
1134.800792154606, 152825310043270530
1520.2415367964913, 105230641566595520
2089.359509476677, 70647340136040380
3069.123146103687, 45144431637347200
3827.1331577128503, 35298372027092290
4586.012304470459, 27406624879200640
5601.327707407722, 24701545198131840
5879.699279238636, 22068479572220030
6156.332580772661, 15526789021581504
6408.423161210084, 10941894176587648
6813.564302550082, 7644974846814976
7269.2394446640255, 3691651543025408
9098.313670875075, 2209983051864704
9355.619062203172, 9350962981050816
9637.467174627873, 14535147204592448
9969.84928782652, 19062927454116990
12180.680781145558, 18846885288646080
12761.097510755546, 9669645868814528
13115.125227889304, 5726255538149952
13749.26278715087, 3058424506300288
14638.677755727495, 2971510991455680
14895.693435339446, 9461053433187456
15278.609549312037, 13332429708694976
15762.014241400218, 14588123061259584
16676.84106622189, 14498726303133696
17185.078191122815, 14449061437508224
